
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/24dbec7b-e6b9-4e9d-826b-8823429972d1?bufferSize=1000&amp;useArrayFormat=true
11:13:09.962 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x1003]
11:13:10.038 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x5003003201F4]
11:13:10.256 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2EF1980A2C2FCF869F]
11:13:10.531 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2E31]
11:13:10.716 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x2EF199250924]
11:13:10.844 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2E31]
11:13:10.948 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F19E]
11:13:11.031 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F19E45565F4D464B343156616C656F4D454200]
11:13:11.145 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A2]
11:13:11.242 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A2303031303633]
11:13:11.261 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88d880cf-a791-30fc-9307-1d8e6396c45b:rtt] value[159]
11:13:11.342 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F187]
11:13:11.411 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1873145413938303635344C20]
11:13:11.647 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F189]
11:13:11.752 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F18935333334]
11:13:11.861 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F191]
11:13:11.961 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1913145413938303635342020]
11:13:12.067 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A3]
11:13:12.131 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1A3483038]
11:13:12.250 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F1A5]
11:13:12.261 | [Server]-&gt;[Tracer] METADATA =&gt; key[connectors:88d880cf-a791-30fc-9307-1d8e6396c45b:rtt] value[105]
11:13:12.365 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x7F2231]
11:13:12.503 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F197]
11:13:12.581 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x07B9,0x00,0x00,0x00] data[0x62F1974D4542204D464B20342E312020]
11:13:12.685 | [Local]-&gt;[Remote] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x5000] args[0x074F,0x00,0x00,0x00] data[0x22F17C]
11:13:12.872 | [Remote]-&gt;[Local] DATA =&gt; mod[CAN2] [ISOTP VAG V2] cmd[0x7F78] args[0x07B9,0x00,0x00,0x00] data[0x037F2278AAAAAAAA]
