
Getting data from wss://ptmessaging-eu1bc.prd.jifeline.cloud/ptmessaging/bc6621ee-2af4-400b-8bac-c08e0c3d8b65?bufferSize=1000&amp;useArrayFormat=true
14:09:51.644 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A3] target[0E80] data[62F1134D3845322D3134443630302D424300000000000000000000]
14:09:51.712 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17A2] target[0E80] data[62F1134D5836332D3139433237392D414600000000000000000000]
14:09:51.719 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1761] data[22F113]
14:09:51.808 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E1] data[22F113]
14:09:51.813 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1761] target[0E80] data[62F1134D3845322D374A3432362D41430000000000000000000000]
14:09:51.904 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E1] target[0E80] data[62F1134D3845322D373030302D4842000000000000000000000000]
14:09:51.922 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[17E0] data[22F113]
14:09:52.015 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[17E0] target[0E80] data[62F1134D3841322D3132423638342D4B4144000000000000000000]
14:09:52.018 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1797] data[22F113]
14:09:52.104 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1797] target[0E80] data[62F1134D3842322D33463831382D41410000000000000000000000]
14:09:52.109 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1757] data[22F113]
14:09:52.198 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1757] target[0E80] data[62F1134D38454D2D3139483534332D414600000000000000000000]
14:09:52.205 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1753] data[22F113]
14:09:52.289 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1792] data[22F113]
14:09:52.325 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1753] target[0E80] data[62F1134E3842322D3134423232372D414200000000000000000000]
14:09:52.388 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1716] data[22F113]
14:09:52.424 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1792] target[0E80] data[62F1134D3845322D3134423539362D444100000000000000000000]
14:09:52.454 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1716] target[0E80] data[62F113523845322D3134463034312D414200000000000000000000]
14:09:52.485 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1780] data[22F124]
14:09:52.559 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1740] data[22F124]
14:09:52.573 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1780] target[0E80] data[7F2231]
14:09:52.640 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1740] target[0E80] data[62F124505934322D3134433036352D414300000000000000000000]
14:09:52.647 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1742] data[22F124]
14:09:52.729 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1741] data[22F124]
14:09:52.742 | [Remote]-&gt;[Local] DOIP =&gt; [1716] source[1742] target[0E80] data[62F124505934322D3134433036392D414300000000000000000000]
14:09:52.818 | [Local]-&gt;[Remote] DOIP =&gt; [1716] source[0E80] target[1751] data[22F124]
